year,month,product_category,base_price,discount_percent,discount_expense,final_price,marketing_spend,website_traffic,conversion_rate,customer_rating,competitor_price_index,logistics_cost,return_rate,festival_season,inventory_level,units_sold,revenue,revenue_growth_percent
2020,1,Beauty,20643.14,29.07,6000.96,14642.18,112295.07,28618,1.57,4.5,0.82,108,3.64,0,4288,404,5915440.4,7.62
2020,1,Home,2240.72,55.46,1242.7,998.02,315292.54,126007,1.47,4.49,0.84,189.42,19.72,1,2967,2079,2074876.69,18.23
2020,1,Beauty,1752.51,23.18,406.23,1346.28,99891.14,139270,3,4.96,1.18,24.88,16.22,0,2050,4144,5578976.79,13.2
2020,1,Grocery,37167.05,17.54,6519.1,30647.95,409406.77,130986,4.83,4.66,0.98,94.85,21.13,1,3079,7370,225875387.3,14.27
2020,1,Home,20530.23,34.17,7015.18,13515.05,144836.92,24095,7.43,2.58,0.87,87.47,9.27,0,4706,923,12474391.53,6.25
2020,1,Beauty,26585.73,26.36,7008,19577.73,20609.64,174697,2.65,3.44,1.18,317.89,23.29,1,4923,3981,77938949.39,10.5
2020,1,Electronics,38962.92,46.54,18133.34,20829.58,19256.68,18421,2.57,4.75,0.8,148.77,8.46,1,1390,562,11706222.29,9.91
2020,1,Home,40880.52,43.6,17823.91,23056.61,366194.97,101017,6.51,4.85,1.11,100.53,6.92,0,1893,6378,147055079.5,11.45
2020,1,Beauty,30379.55,0.66,200.51,30179.04,9234.61,72616,6.33,2.65,1.12,489.8,22.23,0,2617,2436,73516153.55,5.56
2020,1,Electronics,28620.02,22.54,6450.95,22169.07,312332.72,47647,5.85,3.09,1.08,165.21,12.95,0,975,1722,38175134.22,11.73
2020,1,Grocery,34517.63,49.9,17224.3,17293.33,203074.03,13202,1.14,3.79,0.81,143.32,12.84,1,3925,142,2455653.23,21.34
2020,1,Fashion,40487.09,22.87,9259.4,31227.69,96344.85,159207,4.44,4.85,1.02,250.67,24.78,0,1869,6856,214097059.9,9.76
2020,1,Fashion,11543.36,4.44,512.53,11030.83,188700.27,147342,3.54,3.29,0.81,417.67,17.95,0,3954,3432,37857825.09,4.25
2020,1,Beauty,22555.8,36.52,8237.38,14318.42,418875.84,135729,7.19,3.88,0.91,436.72,8.6,1,3411,9466,135538181.1,18.22
2020,1,Beauty,43313.22,34.17,14800.13,28513.09,458180.78,53282,2.97,3.06,0.94,411.74,8.96,1,55,1210,34500842.2,18.7
2020,1,Fashion,7647.56,0.34,26,7621.56,231363.4,142341,4.23,3.66,0.93,89.02,9.95,0,2632,4407,33588207.41,3.61
2020,1,Fashion,12885.08,0.5,64.43,12820.65,430414.18,12862,2.09,4.38,1.15,137.24,17.94,1,520,294,3769272.45,12.72
2020,1,Grocery,48689.87,7.65,3724.78,44965.09,136248.76,71185,7.23,4.71,0.94,454.07,7.54,0,2579,4848,217990780.3,5.26
2020,1,Fashion,6392.4,7.2,460.25,5932.15,431604.92,34043,4.76,4.67,1.01,326.79,17.02,0,3490,1513,8975338.71,7.79
2020,1,Electronics,42603.93,57.24,24386.49,18217.44,418714.78,14570,6.67,4.09,1.14,302.38,15.16,0,1470,794,14464647.73,14.78
2020,1,Beauty,17030.9,34.85,5935.27,11095.63,336613.54,95764,2.7,3.87,1.18,187.79,20.65,0,1235,2001,22202358.33,8.92
2020,1,Grocery,38787.95,32.01,12416.02,26371.93,401078.33,6217,5.04,4.15,0.84,57.69,5.03,0,2821,260,6856701.07,12.29
2020,1,Fashion,47182.72,5.74,2708.29,44474.43,314620.93,162108,2.14,4.75,0.91,107.13,1.18,1,2417,4119,183190184.9,10.33
2020,1,Beauty,18518.79,18.83,3487.09,15031.7,11145.96,110735,1.11,3.2,0.99,78.77,6.36,0,2971,786,11814917.65,4.23
2020,1,Fashion,5697.63,58.32,3322.86,2374.77,157149.5,141105,5.17,2.92,1.02,266.42,6.23,1,3816,5325,12645661.88,18.15
2020,1,Home,31386.99,46.9,14720.5,16666.49,122772.46,189848,6.75,3.31,1.01,74.34,24.34,0,2045,8483,141381849,11.37
2020,1,Fashion,24909.56,34.89,8690.95,16218.61,81307.24,161152,3.57,3.02,1.07,238.2,1.28,0,3168,3474,56343466.83,10.13
2020,1,Fashion,3262.99,6.58,214.7,3048.29,439776.12,189214,1.26,3.51,0.81,417.14,3.32,0,894,1673,5099781.24,8.15
2020,1,Home,35838.65,45.27,16224.16,19614.49,207492.64,95852,6.73,2.64,0.99,265.05,10.56,0,297,3406,66806963.65,14.58
2020,1,Beauty,43011.34,10.06,4326.94,38684.4,471865.71,77859,5.47,4.34,0.81,162.16,14.76,1,4034,4620,178721924.3,18.3
2020,2,Beauty,25597.26,17.76,4546.07,21051.19,392893.26,66316,4.84,3.31,1.03,306.54,24.46,0,3539,2124,44712720.39,9.14
2020,2,Beauty,21470.2,13.65,2930.68,18539.52,269191.73,99972,2.52,3.9,0.89,408.6,14.71,0,1903,1965,36430152.28,6.03
2020,2,Beauty,9737.76,19.96,1943.66,7794.1,94619.93,113092,6.66,3.57,1.05,68.46,7.18,0,524,5377,41908892.39,9
2020,2,Home,41838.71,20.69,8656.43,33182.28,338602.5,9436,2.52,4.28,0.96,371.56,11.47,0,683,203,6736003.02,7.68
2020,2,Electronics,26457.31,27.61,7304.86,19152.45,206630.79,77524,5.76,3.01,0.82,123.7,4.49,0,3826,2688,51481776.75,8.61
2020,2,Home,26107.48,2.26,590.03,25517.45,147667.7,4841,1.54,4.38,1,209,19.4,0,4453,65,1658634.31,10.1
2020,2,Home,45422.57,10.3,4678.52,40744.05,263426.42,11270,4.85,2.65,1.05,151.98,5.49,0,3749,289,11775029.09,11.01
2020,2,Beauty,47431.57,37.15,17620.83,29810.74,149299.36,14859,5.64,4.13,0.97,166.95,10.8,1,1100,865,25786291.61,13.63
2020,2,Beauty,33774.51,21.9,7396.62,26377.89,427101.33,102733,1.58,4.34,1.09,342.89,10.72,0,2311,1408,37140072.37,6.95
2020,2,Home,48078.6,56.23,27034.6,21044,342975.85,10402,3.75,4.91,0.87,296.99,4.17,0,4630,383,8059853.23,12.7
2020,2,Electronics,27929.55,47.78,13344.74,14584.81,64902.78,169862,7.12,4.17,1.04,267.78,4.9,0,4502,10086,147102403.9,14.07
2020,2,Beauty,25117.85,26.66,6696.42,18421.43,345447.65,188471,5.69,4.3,0.85,375.2,2.79,0,3922,9222,169882438.4,12.08
2020,2,Fashion,17184.18,18.06,3103.46,14080.72,205732.97,15772,3.73,3.82,0.91,185.84,19.63,0,2340,449,6322241.97,6.67
2020,2,Electronics,5528.16,5.31,293.55,5234.61,67966.04,32748,6.33,2.8,0.89,451.5,20.66,0,595,1160,6072153.06,4.85
2020,2,Home,23341.54,17.49,4082.44,19259.1,84776.03,195900,5.32,3.11,1,104.72,14.47,0,4867,6482,124837516.4,10.8
2020,2,Home,25585.9,54.27,13885.47,11700.43,341139.2,99902,5.62,3.65,0.84,428.2,13.63,0,4510,4098,47948370.62,16.7
2020,2,Grocery,23872.88,1.22,291.25,23581.63,431508.14,50830,3.15,3.23,1.02,123.71,16.77,0,1974,1034,24383406.31,9.36
2020,2,Electronics,38657.57,55.44,21431.76,17225.81,108327.55,117128,2.03,2.52,0.82,145.79,2.01,0,2004,1198,20636524.2,6.86
2020,2,Home,12647.96,31.87,4030.9,8617.06,318038.44,105302,6.82,3.45,0.97,78.87,24.08,1,2845,6194,53374039.59,17.49
2020,2,Home,29375.98,2.4,705.02,28670.96,212966.6,115742,1.24,4.62,0.94,61.99,18.15,0,4592,1326,38017688.29,6.8
2020,2,Electronics,36608.93,55.69,20387.51,16221.42,179006.38,24519,4.98,2.82,1.04,205.77,12.45,1,3160,860,13950418.52,23.78
2020,2,Electronics,14641.37,44.76,6553.48,8087.89,332935.95,83049,3.16,2.66,0.83,229.52,24.58,1,237,1745,14113372.92,20.5
2020,2,Fashion,2802.98,3.7,103.71,2699.27,158798.24,104488,1.33,4.9,1.14,156.45,12.58,1,681,1702,4594157.1,4.78
2020,2,Beauty,26103.98,17,4437.68,21666.3,151596.46,156154,1.88,4.45,1.05,132.8,3.33,0,2562,2612,56592384.48,7.94
2020,2,Beauty,28859.95,13.67,3945.16,24914.79,155767.07,12721,3.05,4.19,1.1,22.84,8.5,1,4768,406,10115406.7,15.85
2020,2,Electronics,16795.44,49.05,8238.16,8557.28,324315.93,42168,5.92,4.67,1.04,179.61,3.51,0,2984,2331,19947011.94,11.15
2020,2,Grocery,29375.44,49.97,14678.91,14696.53,167886.09,67520,5.05,4.15,0.89,115.48,22.35,0,3068,2830,41591187.35,17.49
2020,2,Home,45968.11,0.24,110.32,45857.79,492591.75,132101,7.1,4.36,1.16,105.02,3.29,1,2051,10223,468804151.8,15.39
2020,2,Home,675.04,53.99,364.45,310.59,497403.08,84162,1.06,4.25,0.83,413.83,12.01,0,1529,758,235424.12,10.98
2020,2,Beauty,35986.47,0.99,356.27,35630.2,412069.94,81312,3.55,3.39,1.02,84.43,23.79,0,1584,1957,69728309.12,6.31
2020,2,Fashion,5231.21,6.86,358.86,4872.35,495743.92,43044,4.25,2.57,0.92,159.9,20.92,0,677,940,4580008.05,3.02
2020,2,Fashion,2217.36,1.81,40.13,2177.23,337634,110822,5.05,4.62,0.94,329.62,5.26,0,2911,5171,11258434.53,10.54
2020,2,Grocery,36676.24,3.78,1386.36,35289.88,394373.47,144770,2.53,3.49,1.07,197.02,7.57,0,1180,2556,90200928.5,6.37
2020,2,Home,5551.17,14.3,793.82,4757.35,195018.1,143121,2.95,3.19,0.81,137.14,1.61,0,4652,2693,12811550.79,8.8
2020,2,Beauty,7406.59,45.54,3372.96,4033.63,39622.29,135212,5.96,3.66,1.01,224.39,23.1,1,2755,7373,29739945.98,15.95
2020,2,Grocery,20250.05,20.13,4076.34,16173.71,78065.38,94531,2.31,3.97,0.93,447.61,13.24,0,1595,1733,28029047.98,16.56
2020,2,Beauty,5206.41,53.89,2805.73,2400.68,290940.71,123475,6.63,3.05,1.09,63.8,6.56,1,3152,6242,14985017.41,17.62
2020,2,Beauty,16495.61,35.75,5897.18,10598.43,462183.32,140784,6.45,3.53,1.04,92.02,12.4,0,3108,6410,67935932.61,16.08
2020,2,Electronics,13403.14,56.65,7592.88,5810.26,494826.32,164380,7.2,2.81,0.93,412.18,1.25,0,2745,6651,38644047.17,16.64
2020,2,Fashion,38134.79,39.72,15147.14,22987.65,6672.53,82344,5.07,3.55,0.89,269.87,15.35,1,3616,3705,85169248.48,10.95
2020,2,Fashion,17517.34,51.3,8986.4,8530.94,246878.73,153963,0.75,4.55,0.89,197.31,20.71,0,4879,1050,8957491.81,9.34
2020,2,Electronics,27317.66,19.28,5266.84,22050.82,149546.98,155301,3.54,4.29,0.95,157.67,7.68,0,3386,4716,103991644.3,7.3
2020,2,Beauty,41672.4,46.72,19469.35,22203.05,265976.25,68967,6.41,3.93,1.17,123.02,17.7,1,634,4343,96427866.65,21.74
2020,2,Electronics,37001.8,23.26,8606.62,28395.18,355637.67,174861,4.23,4.11,1.11,51.22,11.99,0,4465,6080,172642702.4,10.34
2020,2,Home,8262.4,10.79,891.51,7370.89,122335.55,35890,3.13,3.86,0.8,93.99,17.55,0,3536,867,6390559.06,8.04
2020,2,Beauty,15042.52,10.38,1561.41,13481.11,63363.62,60269,2.65,4.97,1.11,418.54,6.19,1,2774,1984,26746515.15,13.37
2020,3,Home,26711.54,41.58,11106.66,15604.88,263103.91,48918,6.1,3.15,1.04,250.73,9.81,0,3782,1879,29321572.65,9.85
2020,3,Home,31979.37,53.61,17144.14,14835.23,401342.94,16227,2.08,4.04,0.87,397.08,9.25,0,1761,272,4035182.49,16.86
2020,3,Fashion,27624.39,10.62,2933.71,24690.68,293150.08,150874,3.07,4.87,1.05,453.08,20.81,0,4635,4511,111379656.5,11.05
2020,3,Electronics,46126.72,29.69,13695.02,32431.7,425322.63,67445,7.44,3.94,1.01,261.39,23.59,0,3395,3954,128234929.3,14.25
2020,3,Grocery,21815.63,16.47,3593.03,18222.6,481327.64,22071,4.15,4.88,0.87,26.46,8.77,1,1665,1117,20354639.44,11.19
2020,3,Grocery,22335.1,5.04,1125.69,21209.41,97274.85,68258,5.45,4.87,1.01,310.34,22.16,0,2783,3623,76841695.91,7.54
2020,3,Home,41683.11,54.48,22708.96,18974.15,272809.99,111848,3.29,3.32,1.05,493.44,5.01,1,1127,3054,57947059.21,18.02
2020,3,Home,47456.03,11.45,5433.72,42022.31,285363.41,163142,5.41,4.5,0.89,470.28,9.94,0,1242,7943,333783244.6,11.41
2020,3,Fashion,21324.42,47.62,10154.69,11169.73,65170.53,47716,3.32,4.08,0.85,28.99,21.06,1,499,1615,18039115.88,14.26
2020,3,Fashion,30044.02,37.66,11314.58,18729.44,122470.51,92861,7.29,3.88,1.16,22.57,12.36,0,3454,5253,98385759.18,11.47
2020,3,Grocery,45115.42,8.4,3789.7,41325.72,166404.9,61047,5.74,4.94,1,481.22,8.5,0,3917,3462,143069659,13.04
2020,3,Grocery,8030.34,36.89,2962.39,5067.95,423328.11,114219,7.48,3.28,1.01,152.66,11.2,0,4280,5604,28400778.2,16.4
2020,3,Fashion,20838.6,58.07,12100.98,8737.62,473699.36,51650,5.14,4.15,1.14,264.41,24.03,0,1357,2203,19248987.83,17.17
2020,3,Grocery,3804.34,58.35,2219.83,1584.51,98720.21,174753,3.2,2.63,1.11,234.63,21.38,1,4614,3676,5824649.97,16.74
2020,3,Beauty,30051.64,34.78,10451.96,19599.68,162831.65,199405,6.96,4.97,0.82,148.82,2.89,0,1159,13795,270377580.2,14.27
2020,3,Beauty,28502.29,51.28,14615.97,13886.32,68426.84,178011,5.79,3.81,0.97,391.57,8.21,0,2265,7853,109049237.1,11.01
2020,3,Grocery,29916.8,12.53,3748.58,26168.22,39747.32,26979,4.21,4.38,1.1,378.04,8.69,1,327,1243,32527103.63,17.24
2020,3,Electronics,30962.8,55.88,17302.01,13660.79,14555.69,190814,1.1,4.48,1.19,355.62,14.76,1,398,2350,32102850.3,13.73
2020,3,Electronics,44725.75,57.18,25574.18,19151.57,78884.64,78125,3.84,3.69,0.82,247.96,2.81,1,210,2767,52992383.54,15.52
2020,3,Fashion,8948.48,8,715.88,8232.6,195282.42,97626,4.74,2.9,0.98,311.21,9.54,0,1775,2683,22088070.09,5.7
2020,3,Grocery,47540.2,54.3,25814.33,21725.87,375143.81,53299,3.05,3,1.18,477.51,4.81,0,975,975,21182724.62,10.75
2020,3,Fashion,30506.87,17.29,5274.64,25232.23,210341.18,79027,1.85,3.29,0.92,468.34,20.33,0,640,961,24248175.12,2.96
2020,3,Home,48146.68,15.13,7284.59,40862.09,58081.72,124311,2.67,3.23,0.89,459.35,23.23,1,2215,2680,109510394,8.1
2020,3,Grocery,18286.82,32.04,5859.1,12427.72,238989.91,13863,5.87,4.29,1.01,235.99,1.72,0,1498,698,8674550.56,14.87
2020,3,Grocery,10522.67,37.3,3924.96,6597.71,407604.95,84605,4.57,2.92,1.09,25.38,18.43,0,458,2258,14897638.42,14.88
2020,3,Beauty,15970.88,15.91,2540.97,13429.91,39447.96,27865,2.54,3.7,0.99,451.73,15.28,0,2582,523,7023844.49,7.43
2020,3,Fashion,6464.96,56.57,3657.23,2807.73,9343.5,65046,2.37,4.36,1.05,168.96,3.83,1,3094,1680,4716989.98,17.27
2020,3,Electronics,24421.33,10.69,2610.64,21810.69,493859.91,189944,0.7,4.09,0.99,50.95,4.78,1,4914,1359,29640727.47,16.82
2020,3,Home,48410.01,21.79,10548.54,37861.47,493471.29,154231,1.16,4.57,0.82,421.04,18.84,1,2024,2044,77388842.27,14.3
2020,3,Grocery,13045.39,16.94,2209.89,10835.5,415613.97,80837,0.79,2.6,1.03,158.03,13.37,0,4614,332,3597386.31,1.61
2020,3,Grocery,946.93,55.07,521.47,425.46,389933.07,24238,7.99,3.95,1.09,430.36,22.06,0,3610,1529,650521.69,11.36
2020,3,Fashion,49801.44,33.11,16489.26,33312.18,445160.94,183050,7.22,4.57,1.17,135.85,10.09,0,1213,12079,402377861.1,14.61
2020,3,Home,33776.14,55.74,18826.82,14949.32,440239.96,156790,5.04,4.69,0.84,96.77,12.3,0,871,7412,110804356.6,12.17
2020,3,Home,1933,42.94,830.03,1102.97,99420.39,88862,6.48,4.17,0.99,220.31,11.87,1,2495,6002,6620024.74,14.67
2020,3,Home,15799.89,7.26,1147.07,14652.82,308678.92,51603,3.44,3.89,1.04,105.62,1.82,0,1066,1381,20235541.64,8.59
2020,3,Electronics,6320.98,6.32,399.49,5921.49,485510.44,3594,6.56,4.76,0.94,126.39,21.6,0,1094,224,1326414.67,10.1
2020,3,Electronics,16783.78,25.6,4296.65,12487.13,465856.03,159025,7.96,3.26,0.85,174.18,8.83,0,2951,8253,103056303,13.07
2020,3,Beauty,13376.94,58.07,7767.99,5608.95,254086.31,145438,2.6,4.08,1.09,288.44,14.62,0,1095,3085,17303613.66,9.32
2020,3,Home,31575.72,31.72,10015.82,21559.9,96862.22,175846,4.81,2.82,1.14,302.13,17.37,0,3429,4770,102840730.7,17.95
2020,3,Fashion,21392.68,18.56,3970.48,17422.2,186320.06,30968,7.25,3.13,0.89,111.49,8.4,1,4955,1756,30593380.73,11.33
2020,3,Electronics,44478.7,20.94,9313.84,35164.86,286678.05,188023,7.12,4.57,0.8,311.39,4.69,1,2142,15294,537811372.2,15.97
2020,3,Electronics,36100.48,42.85,15469.06,20631.42,338390.68,165599,1.04,3.18,0.87,242.88,8.97,0,457,1095,22591409.63,13.74
2020,3,Home,45761.33,6.81,3116.35,42644.98,98672.61,109945,2.96,2.97,1.03,232.69,9.85,0,927,1933,82432752.96,4.5
2020,3,Electronics,10129.16,12.57,1273.24,8855.92,400617.42,91251,2.61,4.51,1.18,295.48,5.93,0,4654,2148,19022526.02,10.65
2020,3,Grocery,31262.92,12.69,3967.26,27295.66,408461.63,136121,1.37,4.1,1.06,400.55,7.9,0,2863,1529,41735057.19,13.31
2020,3,Fashion,2566.38,50.16,1287.3,1279.08,274403.61,159681,3.31,3.65,0.88,225.3,12.45,0,1356,3858,4934705.27,11.43
2020,3,Electronics,17389.96,1.7,295.63,17094.33,231124.08,55235,3.89,4.88,1.19,68.63,10.04,1,3956,2621,44804240.71,12.67
2020,3,Grocery,48548.54,25.19,12229.38,36319.16,278136.08,15852,3.52,4.83,0.92,412.57,9.82,0,4699,539,19576028.74,14.99
2020,4,Fashion,17143.11,12.59,2158.32,14984.79,42300.67,1637,4.61,4.22,0.89,338.86,10.27,0,2971,63,944041.92,7.42
2020,4,Fashion,27130.13,44.51,12075.62,15054.51,486764.07,169859,5.14,4.54,0.94,84.56,21.34,1,2697,9909,149175131,25.64
2020,4,Beauty,29421.04,53.71,15802.04,13619,53938.84,60596,0.97,4.86,0.88,434.1,7.99,0,3127,571,7776448.67,8.38
2020,4,Fashion,9342.27,12.31,1150.03,8192.24,458651.83,176657,5.53,3.4,1.08,205.93,5.6,1,2074,8303,68020140.18,18.34
2020,4,Home,21622.76,55.33,11963.87,9658.89,357533.05,98127,3.56,2.81,1.03,214.74,4.32,0,615,1963,18960394.97,22.01
2020,4,Grocery,17115.1,16,2738.42,14376.68,117427.55,160600,7.56,4.8,1.05,162.68,3.59,0,1555,11655,167560252,9.14
2020,4,Electronics,26913.24,43.73,11769.16,15144.08,393332.52,45493,3.27,3.86,0.99,426.42,6.24,0,1348,1148,17385404.01,11.54
2020,4,Fashion,31603.32,45,14221.49,17381.83,402450.27,107602,6.35,4.32,0.95,364.76,23.35,0,4888,5903,102604918.9,11.37
2020,4,Home,25115.2,2.79,700.71,24414.49,205304.43,163198,7.11,3.9,0.8,364.17,12,0,4244,9050,220951097.6,10.83
2020,4,Beauty,16955.23,44.9,7612.9,9342.33,118067.14,118182,6.03,4.14,0.88,371.86,20.46,0,4831,5900,55119757.21,14.17
2020,4,Home,46890.01,28.56,13391.79,33498.22,470903.67,119849,5.08,4.86,1,44.9,4.34,0,272,5917,198208986.3,7.74
2020,4,Grocery,12981.75,57.31,7439.84,5541.91,382694.6,131115,5.63,4.44,1.11,198.78,11.22,0,4410,6555,36327213.99,14.67
2020,4,Grocery,46697.21,10.62,4959.24,41737.97,98151.16,37389,1.08,4.46,0.95,301.23,13.66,0,4463,360,15025667.87,3.76
2020,4,Home,10468.9,21.8,2282.22,8186.68,345362.71,56178,2.18,5,0.99,344.47,17.39,0,2551,1224,10020496.08,12.71
2020,4,Home,43481.13,28.51,12396.47,31084.66,370057.29,178338,5.14,3.3,0.93,407.65,10.28,0,110,6049,188031107.4,11.43
2020,4,Fashion,24883.57,16.84,4190.39,20693.18,146437.06,76604,7.56,3.54,0.91,404.52,18.42,0,1552,4100,84842024.93,12.02
2020,4,Fashion,45440.19,15.43,7011.42,38428.77,202424.12,52656,5.46,3.23,0.93,104.68,7.31,0,4135,1857,71362223.44,7.09
2020,4,Grocery,22925.03,23.87,5472.2,17452.83,482867.41,86566,6.2,4.08,1,185.66,20.56,0,2568,4379,76425922.16,13.87
2020,4,Electronics,48990.77,34.47,16887.12,32103.65,17861.24,185697,2.04,3.8,0.98,136.85,2.51,0,845,2879,92426412.9,14.8
2020,4,Electronics,3635.7,47.73,1735.32,1900.38,438217.67,169939,1.02,2.89,1.18,423.83,13.19,1,307,1252,2379276.25,13.4
2020,4,Grocery,9726.2,13.63,1325.68,8400.52,236772.07,50339,6.59,3.52,1.07,394.7,21.05,0,700,2335,19615211.72,12.26
2020,4,Home,22477.15,25.18,5659.75,16817.4,494681.84,199629,1.08,4.74,1.07,275.71,18.39,0,1608,2043,34357955.62,11.58
2020,4,Beauty,1302.3,55.83,727.07,575.23,223841.35,8807,1.44,2.73,0.8,244.64,22.02,0,4552,69,39690.59,14.62
2020,4,Home,31830.82,41.4,13177.96,18652.86,228808.83,103017,5.62,4.7,0.87,151.54,1.51,1,4209,6802,126876757.3,14.08
2020,4,Beauty,8806.44,55.05,4847.95,3958.49,263307.36,8739,1.89,4.28,0.93,333.06,20.24,1,1213,176,696695.08,20.33
2020,4,Fashion,12643.4,10.03,1268.13,11375.27,317377.56,7861,1.03,3.05,1.01,418.72,24.15,1,4504,61,693891.29,12.6
2020,4,Electronics,30404.31,28.9,8786.85,21617.46,351125.15,35787,1.9,2.67,0.88,404.98,23.06,0,325,363,7847139.58,17.06
2020,4,Home,28755.4,5.39,1549.92,27205.48,323778.99,89018,4.27,4.75,0.97,94.06,10.94,0,4881,3611,98239002.51,8.98
2020,4,Grocery,6533.62,3.13,204.5,6329.12,490862.99,172792,4.84,4.49,0.87,214.83,20.54,1,1681,9387,59411427.79,13.76
2020,4,Beauty,47397.09,59.21,28063.82,19333.27,418724.15,22788,5.86,4.35,1.13,402.12,23.02,0,2140,1161,22445929.97,18.81
2020,4,Beauty,10870.74,31.92,3469.94,7400.8,254498.81,136150,6.31,4.07,1.18,115.69,22.47,1,259,8741,64690390.98,14.95
2020,4,Fashion,25385.97,54.64,13870.89,11515.08,145857.62,5698,1.68,4.62,1.04,459.5,7.71,0,4482,88,1013326.69,13.01
2020,4,Grocery,17151.16,57.6,9879.07,7272.09,122547.11,24581,1.18,4.27,1.11,309.41,15.45,0,257,247,1796206.68,12.32
2020,4,Grocery,23598.3,37.54,8858.8,14739.5,237595.5,174149,5.3,2.65,0.89,469.75,1.85,0,924,4891,72090885.6,13.1
2020,4,Grocery,24958.26,29.25,7300.29,17657.97,426148.95,94196,1.84,4.6,1.04,120,1.65,0,4392,1594,28146802.51,6.94
2020,4,Grocery,36477.85,42.17,15382.71,21095.14,214726.64,163008,0.84,4.35,0.88,286.4,3.26,0,1581,1191,25124312.52,9.04
2020,4,Fashion,3403.1,59.5,2024.84,1378.26,429611.46,28608,6.48,4.03,1.17,161.13,8.09,0,4831,1494,2059113.72,17.34
2020,4,Fashion,8300.08,46.42,3852.9,4447.18,463871,120847,0.97,4.45,0.88,43.88,9.18,0,4239,1043,4638411.73,6.89
2020,4,Fashion,9750.32,23.8,2320.58,7429.74,314078.24,27878,6.7,2.5,0.81,48.19,4.58,1,1850,1167,8670511.06,18.14
